x-axis,1,2
second,Volt,Volt
-9.9800E-03,,
-9.9700E-03,-1.4914259E+00,-541.9661E-03
-9.9600E-03,-1.5152575E+00,-529.0892E-03
-9.9500E-03,-1.5474560E+00,-510.6470E-03
-9.9400E-03,-1.5814007E+00,-488.5992E-03
-9.9300E-03,-1.6099811E+00,-471.6520E-03
-9.9200E-03,-1.6435364E+00,-458.5741E-03
-9.9100E-03,-1.6677952E+00,-442.6319E-03
-9.9000E-03,-1.6897299E+00,-420.0063E-03
-9.8900E-03,-1.7184610E+00,-398.4610E-03
-9.8800E-03,-1.7406847E+00,-384.2902E-03
-9.8700E-03,-1.7560239E+00,-372.2299E-03
-9.8600E-03,-1.7755967E+00,-354.3907E-03
-9.8500E-03,-1.7985239E+00,-330.4962E-03
-9.8400E-03,-1.8162751E+00,-310.4837E-03
-9.8300E-03,-1.8298053E+00,-295.0314E-03
-9.8200E-03,-1.8424937E+00,-275.4460E-03
-9.8100E-03,-1.8567022E+00,-251.3002E-03
-9.8000E-03,-1.8706344E+00,-230.6218E-03
-9.7900E-03,-1.8828706E+00,-215.6470E-03
-9.7800E-03,-1.8923429E+00,-197.3053E-03
-9.7700E-03,-1.8989510E+00,-171.6645E-03
-9.7600E-03,-1.9035615E+00,-150.5590E-03
-9.7500E-03,-1.9074434E+00,-137.0289E-03
-9.7400E-03,-1.9090264E+00,-121.4510E-03
-9.7300E-03,-1.9103706E+00,-98.3103E-03
-9.7200E-03,-1.9105841E+00,-76.7902E-03
-9.7100E-03,-1.9092776E+00,-60.6093E-03
-9.7000E-03,-1.9071922E+00,-45.5716E-03
-9.6900E-03,-1.9042274E+00,-24.9686E-03
-9.6800E-03,-1.8993530E+00,-2.6947E-03
-9.6700E-03,-1.8925816E+00,+15.7224E-03
-9.6600E-03,-1.8829334E+00,+31.4385E-03
-9.6500E-03,-1.8707600E+00,+51.7274E-03
-9.6400E-03,-1.8564510E+00,+75.2199E-03
-9.6300E-03,-1.8424434E+00,+96.3631E-03
-9.6200E-03,-1.8295163E+00,+115.3706E-03
-9.6100E-03,-1.8161620E+00,+135.7978E-03
-9.6000E-03,-1.7983982E+00,+156.3757E-03
-9.5900E-03,-1.7747550E+00,+171.7902E-03
-9.5800E-03,-1.7558605E+00,+181.9661E-03
-9.5700E-03,-1.7407349E+00,+192.2174E-03
-9.5600E-03,-1.7189635E+00,+208.2601E-03
-9.5500E-03,-1.6902323E+00,+229.9309E-03
-9.5400E-03,-1.6681595E+00,+247.9209E-03
-9.5300E-03,-1.6437876E+00,+260.8354E-03
